I;II;III;IV;V;Punkty;Liczba;as;b≥Ídy zagrywka;Asy na set;liczba;b≥Ídy przyjÍcie;Neg;Poz;poz%;Perf;perf%;liczba1;b≥Ídy atak;blok;Perf1;% perf;pkt;Pkt na set;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
5;5;5;;;7;10;0;0;0,00;0;0;0;0;-;0;-;13;0;1;6;46%;1;0,33;6 Agnieszka Bednarek ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;;;;;0;1;0;0;0,00;2;1;1;0;0%;0;0%;0;0;0;0;0%;0;0,00;8 Pola Nowakowska ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
2;2;2;;;3;22;1;1;0,33;0;0;0;0;-;0;-;4;1;0;2;50%;0;0,00;9 Iga Wasilewska ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
4;4;4;;;20;15;4;1;1,33;10;0;1;6;60%;3;30%;33;1;1;15;45%;1;0,33;10 Wilma Salas Rosell ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Martyna £ukasik ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;*;;;0;0;0;0;0,00;8;0;1;6;75%;4;50%;0;0;0;0;0%;0;0,00;13 Paulina Maj-Erwardt (L);Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;;;;0;0;0;0;0,00;1;1;0;0;0%;0;0%;0;0;0;0;0%;0;0,00;14 Natalia MÍdrzyk ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Gyselle Silva Franco ;Grupa Azoty Chemik Police;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
3;;3;;;4;7;1;0;0,50;0;0;0;0;-;0;-;6;0;0;2;33%;1;0,50;1 Judyta Gawlak ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
5;5;5;;;10;9;2;1;0,67;35;5;12;12;34%;6;17%;23;1;0;7;30%;1;0,33;2 Paula CzerwiÒska ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
6;6;6;;;3;6;0;0;0,00;0;0;0;0;-;0;-;9;4;0;2;22%;1;0,33;4 Karolina Bednarek ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;;;;1;0;0;0;0,00;0;0;0;0;-;0;-;3;1;0;1;33%;0;0,00;7 Rozalia Hnatyszyn ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;*;;;0;0;0;0;0,00;16;0;5;10;63%;5;31%;0;0;0;0;0%;0;0,00;8 Magdalena Saad (L);Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;3;;;;1;2;0;1;0,00;0;0;0;0;-;0;-;2;1;0;1;50%;0;0,00;11 Gabriela Ponikowska ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Emilia Szubert ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Aleksandra Kaza≥a ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;19 Marta Janiszewska ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;20 Anna Paw≥owska (L);Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
2;2;2;;;7;8;0;3;0,00;19;2;3;11;58%;6;32%;17;0;0;7;41%;0;0,00;21 Oliwia Urban ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
1;1;1;;;4;7;1;3;0,33;1;1;0;0;0%;0;0%;5;0;0;2;40%;1;0,33;22 Sylwia Kucharska ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
4;4;4;;;7;8;0;0;0,00;0;0;0;0;-;0;-;26;2;2;6;23%;1;0,33;23 Øaneta Baran ;Enea PTPS Pi≥a;12.10.2019Grupa Azoty Chemik Police-3:0-Enea PTPS Pi≥a;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;*;*;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Anna BodasiÒska (L);E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;*;*;;0;0;0;0;0,00;19;1;5;10;53%;4;21%;0;0;0;0;0%;0;0,00;3 Agata Witkowska (L);E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
;;*;;;1;3;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;1;1,00;4 Klaudia Laskowska ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
1;1;2;1;;1;15;0;2;0,00;0;0;0;0;-;0;-;4;0;1;0;0%;1;0,25;7 Paulina Szpak ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
3;3;4;3;;7;13;1;2;0,25;0;0;0;0;-;0;-;6;0;0;2;33%;4;1,00;8 Izabela Ba≥ucka ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
4;4;5;4;;16;7;0;1;0,00;0;0;0;0;-;0;-;36;3;2;14;39%;2;0,50;9 Marharyta Azizova ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
6;6;1;6;;6;13;2;2;0,50;1;0;1;0;0%;0;0%;7;0;5;1;14%;3;0,75;11 Sonia Kubacka ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;*;5;;2;5;0;1;0,00;12;1;1;3;25%;1;8%;5;0;1;1;20%;1;0,25;12 Oliwia Ba≥uk ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Renata Bia≥a ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Paulina Zaborowska ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
5;5;6;*;;10;10;0;1;0,00;26;0;8;10;38%;3;12%;23;3;4;10;43%;0;0,00;16 Emilia Mucha ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;;*;;0;5;0;2;0,00;0;0;0;0;-;0;-;2;0;0;0;0%;0;0,00;17 Majka SzczepaÒska-Pogoda ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
2;2;3;2;;16;21;1;2;0,25;20;0;4;12;60%;5;25%;45;3;7;14;31%;1;0,25;20 Mia Jerkov ;E.LECLERC Radomka Radom;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;1 Marta Wellna ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;;;;0;1;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Marta £yczakowska ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
4;4;4;4;;15;18;0;2;0,00;27;1;4;13;48%;6;22%;33;3;3;13;39%;2;0,50;3 Olivia RÛøaÒski ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;;;;2;3;0;0;0,00;0;0;0;0;-;0;-;4;0;0;2;50%;0;0,00;6 Magdalena Kowalczyk ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
;*;5;5;;5;12;0;1;0,00;0;0;0;0;-;0;-;12;2;0;5;42%;0;0,00;8 Ewelina Janicka ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
1;1;1;1;;12;15;1;2;0,25;11;0;4;6;55%;4;36%;29;4;3;9;31%;2;0,50;10 Andrea Kossanyiova ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Dagmara Dπbrowska ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
3;3;3;3;;16;17;1;5;0,25;1;1;0;0;0%;0;0%;27;3;5;11;41%;4;1,00;12 Carly DeHoog ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
5;5;2;2;;11;12;0;4;0,00;0;0;0;0;-;0;-;10;0;0;5;50%;6;1,50;13 Martyna åwirad ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
2;2;;;;2;6;0;2;0,00;0;0;0;0;-;0;-;4;0;1;1;25%;1;0,50;15 Kornelia Moskwa ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
*;*;*;*;;0;0;0;0;0,00;40;2;12;19;48%;8;20%;0;0;0;0;0%;0;0,00;16 Kinga Drabek (L);BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
6;6;6;6;;7;11;0;1;0,00;0;0;0;0;-;0;-;3;0;1;2;67%;5;1,25;18 Pavla Smidova ;BKS STAL Bielsko-Bia≥a;14.10.2019E.LECLERC Radomka Radom-1:3-BKS STAL Bielsko-Bia≥a;14.10.2019, 17:30;2019/2020;zasadnicza;1
6;6;1;;;6;9;1;1;0,33;0;0;0;0;-;0;-;5;0;0;4;80%;1;0,33;1 Eva Mori ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Ewa Kwiatkowska ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
2;2;3;;;9;10;0;3;0,00;0;0;0;0;-;0;-;15;1;0;7;47%;2;0,67;4 Joanna Pacak ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
4;4;*;;;3;5;0;1;0,00;14;0;3;6;43%;3;21%;10;1;1;3;30%;0;0,00;5 Natalia Skrzypkowska ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;5;;;4;11;0;0;0,00;6;0;3;1;17%;1;17%;10;0;1;4;40%;0;0,00;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
1;1;2;;;25;16;2;1;0,67;36;0;10;17;47%;8;22%;46;3;1;20;43%;3;1,00;8 Katarina LazoviÊ ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Klaudia Gajewska ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Nicole Edelman ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
3;3;;;;5;7;0;0;0,00;0;0;0;0;-;0;-;13;2;2;4;31%;1;0,50;12 Monika Ga≥kowska ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;4;;;3;7;0;3;0,00;0;0;0;0;-;0;-;20;2;1;3;15%;0;0,00;14 Izabela KowaliÒska ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
5;5;6;;;11;8;0;1;0,00;1;0;0;1;100%;1;100%;13;0;0;9;69%;2;0,67;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;*;;;0;0;0;0;0,00;11;2;2;7;64%;7;64%;0;0;0;0;0%;0;0,00;16 Anna Korabiec (L);£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Oliwia Laszczyk ;£KS Commercecon £Ûdü;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
5;4;5;;;8;15;1;0;0,33;16;0;1;11;69%;2;13%;22;1;3;6;27%;1;0,33;1 Hillary Hurley ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Katarzyna Wawrzyniak ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
6;5;6;;;9;9;0;0;0,00;0;0;0;0;-;0;-;14;0;1;7;50%;2;0,67;3 Monika Ptak ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;3;;;2;7;0;0;0,00;0;0;0;0;-;0;-;2;0;0;1;50%;1;0,50;5 Ma≥gorzata Jasek ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Anna Miros ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Adrianna Rybak ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;8 Zuzanna Wawrzyniak ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
3;2;*;;;4;5;0;0;0,00;0;0;0;0;-;0;-;10;0;0;4;40%;0;0,00;9 Weronika Centka ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
4;3;4;;;11;13;0;0;0,00;0;0;0;0;-;0;-;32;1;2;9;28%;2;0,67;10 Adela HeliÊ ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
1;6;1;;;1;12;1;0;0,33;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Adrianna Szady ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;*;*;;;1;0;0;0;0,00;2;0;2;0;0%;0;0%;2;0;0;1;50%;0;0,00;14 Ewelina BrzeziÒska ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;*;;;0;0;0;0;0,00;20;2;5;11;55%;5;25%;0;0;0;0;0%;0;0,00;16 Klaudia Kulig (L);Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
2;1;2;;;8;8;0;1;0,00;25;1;9;11;44%;6;24%;24;1;3;8;33%;0;0,00;17 Ljubica Kecman ;Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
;;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;18 Justyna £ysiak (L);Energa MKS Kalisz;12.10.2019£KS Commercecon £Ûdü-3:0-Energa MKS Kalisz;12.10.2019, 18:00;2019/2020;zasadnicza;1
*;*;*;;;0;0;0;0;0,00;19;0;5;11;58%;8;42%;0;0;0;0;0%;0;0,00;1 Maria Stenzel (L);Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
1;5;1;;;0;13;0;1;0,00;0;0;0;0;-;0;-;4;0;2;0;0%;0;0,00;2 Julia Nowicka ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
3;1;3;;;11;13;0;1;0,00;0;0;0;0;-;0;-;13;0;0;9;69%;2;0,67;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
2;6;2;;;8;12;1;1;0,33;25;0;6;15;60%;9;36%;26;1;3;5;19%;2;0,67;6 Charlotte Leys ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
*;*;;;;0;1;0;0;0,00;0;0;0;0;-;0;-;1;0;1;0;0%;0;0,00;7 Julia Kπkol ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
4;2;4;;;19;14;3;1;1,00;0;0;0;0;-;0;-;42;2;4;14;33%;2;0,67;8 Anastasiya Kraiduba ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
6;4;6;;;12;9;1;0;0,33;0;0;0;0;-;0;-;17;0;2;8;47%;3;1,00;9 Jaroslava Pencova ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
*;;*;;;3;3;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;3;1,50;13 Paulina Ba≥dyga ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
;;*;;;0;2;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Anna Lewandowska ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;18 Karolina Garstka (L);Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
5;3;5;;;12;11;1;1;0,33;24;1;5;15;63%;12;50%;25;2;1;10;40%;1;0,33;20 Anna BπczyÒska ;Grot Budowlani £Ûdü;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
5;4;5;;;10;10;0;0;0,00;20;2;5;9;45%;3;15%;22;2;1;9;41%;1;0,33;1 Hillary Hurley ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
*;*;*;;;0;3;0;1;0,00;0;0;0;0;-;0;-;1;0;0;0;0%;0;0,00;2 Katarzyna Wawrzyniak ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
6;5;6;;;10;8;0;0;0,00;0;0;0;0;-;0;-;9;0;0;3;33%;7;2,33;3 Monika Ptak ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
*;*;*;;;1;5;0;0;0,00;0;0;0;0;-;0;-;1;0;0;1;100%;0;0,00;5 Ma≥gorzata Jasek ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
;;*;;;1;0;0;0;0,00;0;0;0;0;-;0;-;2;0;1;1;50%;0;0,00;6 Anna Miros ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;8 Zuzanna Wawrzyniak ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
3;2;3;;;4;6;0;3;0,00;0;0;0;0;-;0;-;8;0;0;3;38%;1;0,33;9 Weronika Centka ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
4;3;4;;;15;13;1;0;0,33;0;0;0;0;-;0;-;33;3;4;13;39%;1;0,33;10 Adela HeliÊ ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
1;6;1;;;1;14;0;0;0,00;0;0;0;0;-;0;-;2;0;0;0;0%;1;0,33;11 Adrianna Szady ;Energa MKS Kalisz;20.10.2019Grot Budowlani £Ûdü-3:0-Energa MKS Kalisz;20.10.2019, 14:45;2019/2020;zasadnicza;2
